id,fiscal_year,category,amount,unit,created_at
448,1976,Safflower,,amount in rupees per quintal,2026-01-24 10:36:06.584044
449,1975,Sugarcane,,amount in rupees per quintal,2026-01-24 10:36:06.58439
450,1975,Cotton,,amount in rupees per quintal,2026-01-24 10:36:06.584666
451,1975,Jute,135,amount in rupees per quintal,2026-01-24 10:36:06.584972
452,1975,Groundnut,,amount in rupees per quintal,2026-01-24 10:36:06.585284
453,1975,Soyabean,,amount in rupees per quintal,2026-01-24 10:36:06.585569
454,1975,Soyabean,,amount in rupees per quintal,2026-01-24 10:36:06.585859
455,1975,Sunflower,,amount in rupees per quintal,2026-01-24 10:36:06.586164
456,1975,Mustard,,amount in rupees per quintal,2026-01-24 10:36:06.58646
457,1975,Safflower,,amount in rupees per quintal,2026-01-24 10:36:06.586754
458,2025,Soyabean,5328,amount in rupees per quintal,2026-01-24 10:36:06.587034
459,2022,Soyabean,4300,amount in rupees per quintal,2026-01-24 10:36:06.587323
